	Text	Similarity	Facts
42150	The object B is positioned below and to the right of the object R. H is at the bottom and Z is on the top. B is over there and D is directly above it. R is below H and to the left of H. D is above and to the right of C.	0.5172754476058973	"lower-right(B,R)
below(H,Z)
above(Z,H)
above(D,B)
lower-left(R,H)
upper-right(D,C)"
47657	R is on the lower left of J. The object T is positioned directly above the object R. M is to the right of I. D is at the bottom and M is on the top. D is below and to the right of J.	0.5138555049993211	"lower-left(R,J)
above(T,R)
right(M,I)
below(D,M)
above(M,D)
lower-right(D,J)"
40265	U is to the top-left of B. The object Z is lower and slightly to the right of the object U. Z is positioned below and to the right of O. O is over there and G is on the right. S is above and to the right of B.	0.5131356927949836	"upper-left(U,B)
lower-right(Z,U)
lower-right(Z,O)
right(G,O)
upper-right(S,B)"
40908	The object X is lower and slightly to the right of the object K. E is below R at 7 o'clock. G is on the top and M is at the bottom. E is to the left of K and is on the same horizontal plane. X is above G and to the right of G.	0.5127859464109175	"lower-right(X,K)
lower-left(E,R)
above(G,M)
below(M,G)
left(E,K)
upper-right(X,G)"
45013	F is there and I is at the 5 position of a clock face. O is below M and to the left of M. O is on the right side to X. F is below and to the right of Q. The object M is upper and slightly to the left of the object I.	0.5122124577934192	"lower-right(I,F)
lower-left(O,M)
right(O,X)
lower-right(F,Q)
upper-left(M,I)"
40730	The object J is positioned below and to the right of the object D. Q is on the left side to J. K is placed at the lower left of E. D is above E and to the left of E. M is to the top right of K.	0.5116803660257943	"lower-right(J,D)
left(Q,J)
lower-left(K,E)
upper-left(D,E)
upper-right(M,K)"
49498	The object D is positioned below and to the left of the object H. I is below P. O is at the lower side of H. Z is on the left and I is on the right. Z and O are parallel, and Z is to the right of O.	0.5105892178980471	"lower-left(D,H)
below(I,P)
below(O,H)
left(Z,I)
right(I,Z)
right(Z,O)"
45927	U is on the right side and top of V. R is at V's 6 o'clock. M is placed at the upper right of U. The object M is positioned below and to the left of the object H. G is above H and to the right of H.	0.5101228869802785	"upper-right(U,V)
below(R,V)
upper-right(M,U)
lower-left(M,H)
upper-right(G,H)"
49008	L is below and to the right of Y. G is lower right of L. H is over there and N is on the right. Y is to the upper left of Q. The object Q is positioned above and to the right of the object N.	0.5100278634086345	"lower-right(L,Y)
lower-right(G,L)
right(N,H)
upper-left(Y,Q)
upper-right(Q,N)"
46589	The object E is lower and slightly to the right of the object T. Z is to the left of G. V is positioned below and to the right of E. T is on the top and L is at the bottom. G presents upper right to V.	0.5072169398173845	"lower-right(E,T)
left(Z,G)
lower-right(V,E)
above(T,L)
below(L,T)
upper-right(G,V)"
